CRIME CATEGORY,"July 2023 to 
September 2023","July 2024 to 
September 2024",Count Diff,(%) Change,Unnamed: 5,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
CONTACT CRIMES (CRIMES AGAINST THE  PERSON),,,,,,,,,,,,,,
Murder,6945.0,6545.0,-400.0,-0.057595392368610554,,1315.0,215.0,1579.0,1428.0,243.0,334.0,297.0,71.0,1063.0
Sexual offences,13090.0,12765.0,-325.0,-0.024828113063407153,,1843.0,916.0,2702.0,2530.0,1091.0,839.0,947.0,351.0,1546.0
Attempted murder,6911.0,7061.0,150.0,0.021704529011720375,,693.0,448.0,1682.0,1742.0,269.0,331.0,278.0,514.0,1104.0
Assault with the intent to inflict grievous bodily harm,42297.0,42721.0,424.0,0.01002435160886117,,6161.0,3079.0,8911.0,7634.0,3054.0,2953.0,3832.0,1747.0,5350.0
Common assault,45348.0,44722.0,-626.0,-0.013804357413777946,,3579.0,3606.0,11754.0,7046.0,2487.0,2173.0,2808.0,1218.0,10051.0
Common robbery,12467.0,11692.0,-775.0,-0.06216411325900373,,772.0,550.0,3620.0,2003.0,727.0,508.0,700.0,229.0,2583.0
Robbery with aggravating circumstances,38851.0,35429.0,-3422.0,-0.08808010089830376,,3167.0,1185.0,12490.0,6063.0,1831.0,2038.0,2011.0,417.0,6227.0
Contact crime (Crimes against the person),165909.0,160935.0,-4974.0,-0.02998029040015915,,17530.0,9999.0,42738.0,28446.0,9702.0,9176.0,10873.0,4547.0,27924.0
SEXUAL OFFENCES - BREAKDOWN,,,,,,,,,,,,,,
Rape,10516.0,10191.0,-325.0,-0.030905287181437813,,1510.0,712.0,2171.0,2046.0,908.0,713.0,804.0,252.0,1075.0
Sexual assault,1847.0,1839.0,-8.0,-0.0043313481321061165,,218.0,146.0,422.0,348.0,117.0,102.0,83.0,61.0,342.0
Attempted sexual offences,559.0,565.0,6.0,0.01073345259391778,,102.0,39.0,68.0,117.0,57.0,17.0,50.0,34.0,81.0
Contact sexual offences,168.0,170.0,2.0,0.011904761904761862,,13.0,19.0,41.0,19.0,9.0,7.0,10.0,4.0,48.0
SOME SUBCATEGORIES OF AGGRAVATED ROBBERY,,,,,,,,,,,,,,
Carjacking,6009.0,5447.0,-562.0,-0.09352637710101519,,480.0,54.0,2733.0,728.0,110.0,305.0,163.0,13.0,861.0
Robbery at residential premises,6045.0,5967.0,-78.0,-0.012903225806451646,,624.0,211.0,1936.0,1357.0,313.0,458.0,316.0,53.0,699.0
Robbery at non-residential premises,4910.0,3873.0,-1037.0,-0.2112016293279022,,477.0,130.0,1273.0,589.0,445.0,303.0,341.0,45.0,270.0
